0.0,325.17,325.93,328.22,332.01,337.31,344.13,352.49,362.43,373.99,
550.0,1142.90,1142.95,1143.11,1143.38,1143.75,1144.23,1144.80,1145.46,1146.23,
150.0,784.03,784.43,785.61,787.57,790.27,793.72,797.88,802.74,808.28,
600.0,1155.45,1155.49,1155.62,1155.83,1156.12,1156.49,1156.93,1157.45,1158.05,
650.0,1165.24,1165.27,1165.37,1165.54,1165.76,1166.05,1166.40,1166.80,1167.27,
700.0,1172.88,1172.91,1172.98,1173.11,1173.29,1173.51,1173.78,1174.10,1174.46,
750.0,1178.84,1178.86,1178.92,1179.02,1179.16,1179.33,1179.55,1179.79,1180.08,
50.0,516.67,517.32,519.26,522.45,526.88,532.52,539.34,547.32,556.42,
200.0,875.47,875.78,876.70,878.22,880.33,883.02,886.27,890.06,894.38,
800.0,1183.49,1183.51,1183.56,1183.63,1183.74,1183.88,1184.04,1184.24,1184.46,
850.0,1187.12,1187.13,1187.17,1187.23,1187.31,1187.42,1187.55,1187.70,1187.87,
900.0,1189.95,1189.96,1189.99,1190.04,1190.10,1190.19,1190.29,1190.40,1190.54,
950.0,1192.16,1192.17,1192.19,1192.23,1192.28,1192.34,1192.42,1192.51,1192.62,
250.0,946.80,947.04,947.76,948.95,950.60,952.70,955.23,958.19,961.56,
1000.0,1193.88,1193.89,1193.91,1193.94,1193.98,1194.03,1194.09,1194.16,1194.24,
300.0,1002.46,1002.65,1003.21,1004.14,1005.42,1007.06,1009.03,1011.34,1013.97,
350.0,1045.88,1046.03,1046.46,1047.19,1048.19,1049.47,1051.01,1052.81,1054.86,
100.0,666.84,667.35,668.87,671.37,674.84,679.25,684.58,690.81,697.92,
400.0,1079.76,1079.87,1080.21,1080.78,1081.56,1082.56,1083.76,1085.16,1086.77,
450.0,1106.19,1106.28,1106.54,1106.98,1107.59,1108.37,1109.31,1110.41,1111.66,
500.0,1126.81,1126.88,1127.09,1127.43,1127.91,1128.51,1129.24,1130.10,1131.07,
